"id","movie_id","genre_id"
"5a279769-a4df-41f8-a916-8a2a2ad05cff",341735,18
"0f74561b-61f0-4b2b-8db1-4f6af91d66c6",341735,10749
"6a9286da-9e14-4024-a9bc-73abf30029e7",341735,35
"a34d477d-53eb-495b-b551-b642621b939e",337676,10749
"0cb21c1a-b489-464e-b0bd-239e108ab61b",337676,18
"45e0a8c2-8c4e-46d1-b6d3-e49d62466218",595490,18
"eea5d274-3848-42bd-a57c-d51b5f7cce26",476344,18
"99895ddf-13ae-47a2-a711-36a461bb9e50",482150,10402
"007edae1-5ada-4604-9104-30ea263cc282",482150,16
"cf2e2ecf-de3d-4551-93ae-8923190d1057",482150,18
"cb741984-e962-432d-b510-ab8439df2502",595495,18
"684770c0-79bf-4fa6-9db8-61e429a68679",595495,14
"aeba242b-bfeb-4d78-931f-cedef0d6d54d",503706,27
"b95d09e2-df19-4c39-b067-110cd9b081d8",503706,53
"e78b9845-17f9-4139-ae5c-87515044a0f3",503706,18
"fb4bfed1-4b60-4772-ba59-e52424eea58b",525763,27
"9199f3a7-578f-4b72-9462-c8f396ade351",525763,99
"e6e06b71-2a3d-488f-8247-e663fbcfad4e",502897,10402
"4d1aa0c5-63bf-4a2e-8345-463c20502ac0",502897,18
"36f1a522-ff98-4bed-8ab5-4b0f257afc8d",280217,28
"d4c6a573-cf13-47bc-8aa6-57d7bc795376",280217,12
"14b7fed1-16bd-4dff-88ab-8d00b870c190",280217,16
"13d2a365-246d-476c-ac0a-9df7332ec474",280217,35
"c23c33f7-94d3-4dd0-8dfd-87b491974201",280217,10751
"04bd7a83-a997-4074-8f69-c3acf7d21b6f",280217,878
"7096ac64-4bde-47b5-908c-eb007621d4a1",280217,14
"80a679c1-dd1f-4c52-912f-b62e534c3771",376865,878
"c1777c07-76a9-41f3-8687-1ae8ae3212d1",376865,53
"bee540d4-d9c4-4c98-ac95-b826710bb9b2",438650,28
"0f20a0dd-ddcf-4f96-8652-57ec36195d3c",438650,18
"4efa2eaa-aff0-497e-ab28-51cf69f70f9d",438650,53
"c0448810-e3eb-44a2-bc28-4339cc4c07a2",491418,35
"94361861-ad04-4f99-9fb5-df140fa231f1",491418,18
"da25e5b7-aa09-4589-a98f-5fbd757fcaa1",399361,28
"0ac20701-eeb5-4684-808a-44c20395a8fc",399361,53
"eaad24b2-a757-437e-be6e-e858d5963d34",399361,80
"02dd9b7a-fb8c-4358-8cff-55362dbaaea8",399361,12
"87bfd12f-37f8-447f-857d-16b7bb44144c",576071,18
"0fd38ee2-8c85-4c88-870e-e373f9e24f87",527641,10749
"47e659ca-805a-47a7-b8bb-b6da658285cc",527641,18
"002466aa-69d9-4f2f-a1f3-86bbe33a720f",514439,18
"3e7225bf-5dd6-43a0-97ec-f02ff1ad46df",440161,35
"3791fec7-5d0a-46d8-ac6b-5e04abeb7692",440161,18
"ad312c93-c494-4489-a3a5-5eacd5a154de",440161,37
"219d5353-07f4-49e9-abe4-96126e163621",490132,18
"4a088fad-72d1-4d72-ae92-390af9f1b169",490132,35
"db352a79-4eda-4693-bf2a-c6bb528e66a9",490132,10402
"05e7192e-a2e4-44bd-a474-b6243844308a",361292,53
"9ff9aacd-b351-4643-892b-9f7fbf4b059c",361292,9648
"fae8f5b8-84b3-4b5c-9b63-2ad9813531f8",361292,27
"2e6077d1-8e45-4c23-959e-6bbd1c24d226",361292,14
"8cd3a96b-73ed-41f5-af43-53a6b619321f",429197,18
"c3d784ac-edee-4dea-9e8d-ce5ee0ce5ff8",429197,36
"b83cb21a-53cd-494b-aae3-ce04fc51f5b6",429197,35
"0d356704-8246-48e7-b5c6-bd91c08d4e44",553141,27
"e5f779d7-2ce9-4454-ac95-f105050989a0",553141,14
"9582d471-6b88-46b3-930e-ff3ce8cb1663",449985,53
"9122bd43-8cc3-4e52-9040-204cc717ee9d",449985,28
"2726fe78-7d3f-40d7-888c-c507e7129ee6",449985,80
"0c2379d1-bdaa-45f4-9b33-bd989528c308",339380,18
"29105b93-3577-45c9-b23b-16f99040ee88",339380,36
"6bef8125-5735-487e-8f60-13182e55ccf8",500904,53
"c3c8cd65-486d-4236-91bc-7e6fc6775b18",500904,18
"a11b28c8-9a63-4a12-81c6-52c68ac20854",450001,28
"ea497527-2018-4cce-9403-20a439626251",300681,53
"6a84ec65-2b77-4277-9cd6-7922f47742b5",300681,878
"c4138ccd-5707-4ca6-b625-453a73163be4",508763,18
"447c15c8-5e1e-4ae7-aea5-cb78f94ee4de",508763,10751
"dd6b3918-114f-4667-afea-6c284074681a",508763,12
"3a1d21e9-a610-48cb-89ab-5cd24416dd58",527729,16
"c5f99262-888b-488f-b817-d949719c3218",527729,10751
"26cf3cce-bc96-40b7-9043-6ee9b3fbf8d7",527729,35
"568cf1a7-586b-487a-9a6f-161365ee2ba2",527729,12
"bf2a0d62-50ab-43f3-bf88-f465b18e330b",400157,35
"6c63677c-59a1-4b11-9887-0d1fe96f49ca",400157,16
"2846a17c-e51c-4425-8c4f-b84ad95173b0",400157,12
"8e64d9d8-9b1c-4b3e-9951-0624c65594b3",400157,10751
"89a884a0-294d-472b-b28e-96bfbdc3336f",400157,14
"26f762df-bae5-4ab9-a132-100b1350420c",526050,35
"da352757-5c6f-4fae-86c8-bd71b96537be",526050,14
"b26f6888-ea65-456f-9550-1228b5e3f777",399402,28
"568a4f48-cf95-4abf-a301-60a2a4e1ea16",399402,53
"6af529f7-23e2-4bcc-9fe9-c9554b2766ac",429471,53
"1f85a545-4875-4899-97e1-05b8cd31b1c1",429471,878
"770c76fd-b75a-47f9-9f6a-4745747a3111",351044,18
"c4fdaf82-6f67-4ebe-bb5a-b115c8fd94d1",351044,35
"e9caf45a-0081-43e0-8b46-8eecbecf2e80",351044,14
"00d3d0de-52a9-4e48-9734-15f22a78fbeb",500852,53
"02f6375a-16d5-4102-a23d-aa79eb6714a6",500852,28
"74ed188d-a862-47a4-a914-149852a88eeb",500852,18
"47a8854c-2c74-479e-bdd0-075b37d1361e",453755,53
"e53d4adb-afd4-4ab4-8172-1be10363a669",453755,18
"16bf1c31-1c64-4952-94ff-8314c58ebedd",453755,12
"6bf4a8db-218d-410a-ad9d-822334580346",438674,18
"f9fb0dd9-ab1d-44c1-aa41-05d88f91429b",438674,80
"b109599b-c5a7-4330-9338-a742d26a7213",438674,28
"9338ed1f-edea-4146-a107-d713ddfc8606",438674,53
"d395e40a-22cf-4c04-a2e2-a600aa6e5bfe",460539,28
"534894b9-83d8-4f79-9ead-f501d9ed6c7a",460539,35
"77bf6364-3ca6-4af0-b8d0-0cbc63d1ea97",460539,18
"eb173e5c-9f58-478b-86b6-a79dd20aea75",468339,80
"008bfb28-f34a-4e27-8ff8-57e97cd4b259",452832,53
"31450857-43c5-4704-b436-e349f99f4a2a",452832,18
"c9a8e0bd-de8a-47ff-939a-b3a059d7deb8",452832,9648
"f0a748d5-861d-4c33-a6d0-3813982a268e",452832,878
"7657fce3-609b-4759-9f12-39310f76de53",441384,35
"915fbc06-6934-4542-b8b1-868035db103c",517814,18
"61671d86-f405-46b1-aaff-6038c0bcbd78",576393,10749
"25dae539-72e3-47a3-9b0c-70e830ccadd5",576393,35
"a1e4e9c0-eefe-476c-a863-b177ae1e59cd",458594,53
"09f10c1d-5063-493f-b647-9a0c4ff1b72c",458594,28
"e003612b-71d8-4f3c-aa64-7894cd9b4251",458594,18
"53682202-67a8-42d3-b375-2ccd813fec02",470044,80
"58851650-fed4-4440-b43b-239952968120",470044,18
"c54a9f9e-5547-4f35-97f9-306ccf64aee3",548066,878
"8fefedf4-de16-41cd-8e1f-bafb34e43389",548066,53
"27013e53-d3b4-4928-9349-b54f54ddb011",278154,12
"38310bf9-a18e-4689-9d33-ebb980ea48e4",278154,16
"38c2f40e-9fad-45cc-aac2-bb1691ebd752",278154,10751
"e707e4b6-dd8e-4930-82d6-4e05bc17cdd1",278154,35
"ea6b712a-3b7f-47bd-989b-95ed313d9760",491472,18
"75c10d9f-18b5-4861-ac8b-0a47ac8e4451",457136,18
"573bf908-f793-4919-820f-be40db681cba",457136,36
"ebff44f3-70c6-40e8-ab50-7e6f97885136",478820,28
"b4c036bb-125e-4c8c-8027-8928270a52ad",478820,80
"070f4181-08b6-4095-9483-83ef78350946",478820,53
"dcd5d676-a60d-4d22-9aea-06f450ea86d0",478820,36
"31cc0fcb-61a4-4470-a452-966b3a66a45b",478820,12
"e61c4bfe-90e1-44fc-a931-94517152da54",396461,80
"de4a9ccf-d39f-4eda-ab35-514350018577",396461,53
"de316ab3-0d14-4f09-8909-d70a52606242",396461,35
"34d38035-a217-4f01-b489-e3b2252223d2",396461,18
"15ab7d4b-b077-48c4-ad23-113b24d030b3",396461,9648
"db3db6fa-00bb-48d4-ad04-01454a80e0fa",236751,18
"ced7d05b-2cfd-4404-96d3-caef9798c8f3",207932,9648
"ad21b9ca-53a9-4b5b-b2dc-9046d8aaa325",207932,53
"d6e06942-616c-4b6a-aad5-3403317ac2d8",207932,18
"dc77c3da-d9ed-4db2-ace6-f6f4e4dab0c8",416144,53
"ba4353a7-852e-4767-aeae-897c62cfa915",416144,18
"f519b879-4de1-4847-8bd0-5dbe5ce2566d",440298,18
"c268e117-19f8-48d6-b563-ba27d6c3ae17",440298,10749
"c36c6083-2360-4913-a3b8-d9702b725674",440298,10402
"9d09caea-947e-4ce9-8738-26cd6cc38e7e",445629,35
"dedde337-d137-46d1-8f39-e6cfb7276066",445629,18
"56a63314-119a-4075-bbec-6ceed4e16264",498248,12
"c50c3752-c28e-4f77-a093-8151f7f8091d",508802,99
"a92c90c6-1545-419e-a802-d11245b744b9",508802,10751
